Genome_id	Length	Taxid	Species
GCA_000473955.1	3413912	1349822	Coprobacter fastidiosus NSB1
GCA_000473995.1	5107814	169679	Clostridium saccharobutylicum
GCA_000474745.1	2591328	1313304	Chitinivibrio alkaliphilus ACht1
GCA_000474945.1	4186503	1123261	Solimonas soli DSM 21787
GCA_000475255.1	3559739	1396858	Marinobacter sp. ES-1
GCA_000475415.1	3668536	1397528	Halomonas sp. PBN3
GCA_000477415.1	564395	984991	Mycoplasma parvum
GCA_000477435.1	2991840	1436290	Candidatus Symbiobacter mobilis
GCA_000477555.1	2775399	1348338	Leifsonia rubra CMS 76R
GCA_000478195.2	6867625	1348334	Lyngbya aestuarii BL J
GCA_000478585.1	2725706	1123518	Thiomicrospira sp. Kp2
GCA_000478685.1	1015921	1236703	Candidatus Photodesmus katoptron Akat1
GCA_000478785.1	3288779	1403343	Deinococcus wulumuqiensis R13
GCA_000478885.1	2862526	446660	Adlercreutzia equolifaciens
GCA_000478905.1	1151074	1235990	Candidatus Pantoea carbekii
GCA_000478965.1	2214431	1111454	Megasphaera sp. BV3C16-1
GCA_000478985.1	1925975	1111134	Peptoniphilus sp. BV3C26
GCA_000479045.1	3068248	1319815	Cetobacterium somerae ATCC BAA-474
GCA_000480335.1	4369029	1348908	Bacillus megaterium MSP20.1
GCA_000482245.1	8064168	1385935	Leptolyngbya sp. Heron Island J
GCA_000482325.1	5605968	1340434	Bacillus sp. UNC438CL73TsuS30
GCA_000482385.1	5304668	1169152	Nocardia sp. CNY236
GCA_000482465.1	7555966	1123077	Runella limosa DSM 17973
GCA_000482485.1	4238191	1122940	Paucisalibacillus globulus DSM 18846
GCA_000482545.1	4660196	1132441	Arthrobacter sp. 35W
GCA_000482705.1	5048579	1121926	Glycomyces arizonensis DSM 44726
GCA_000482725.1	4745897	1123036	Psychromonas arctica DSM 14288
GCA_000482785.1	5185168	1121388	Derxia gummosa DSM 723
GCA_000482805.1	2767614	1121383	Deinococcus murrayi DSM 11303
GCA_000482845.1	3804739	1120988	Anaerobiospirillum succiniciproducens DSM 6400
GCA_000482865.1	7278759	1120935	Actinokineospora inagensis DSM 44258
GCA_000483025.1	2758640	1286376	delta proteobacterium PSCGC 5451
GCA_000483125.1	1657369	1121023	Atopobium fossor DSM 15642
GCA_000483165.1	924993	1278299	Acholeplasma multilocale ATCC 49900
GCA_000483485.1	2443034	1123515	Thiomicrospira chilensis DSM 12352
GCA_000484505.1	4352205	84023	Clostridium autoethanogenum
GCA_000484535.1	4724791	1416614	Gloeobacter kilaueensis
GCA_000484595.1	3479654	1305836	Sporosarcina sp. EUR3 2.2.2
GCA_000484635.1	3681020	1121348	Comamonas badia DSM 17552
GCA_000485555.1	713526	1266997	Mycoplasma salivarium ATCC 23064
GCA_000485815.1	3180043	1407650	Synechococcus sp. NKBG15041c
GCA_000485905.1	1926631	1335757	Spiribacter curvatus
GCA_000487995.1	2332248	1379858	Mucispirillum schaedleri ASF457
GCA_000488195.1	4551346	1217658	Acinetobacter gyllenbergii NIPH 230
GCA_000488215.1	2668938	1392540	Acinetobacter nectaris CIP 110549
